symbol,market_cap
btc,215410742408.28976
eth,43935093104.20476
xrp,12742971649.261929
usdt,10011455734.099943
bch,5263168481.740026
link,5226660105.905
ltc,3956088491.828692
bsv,3609491957.375403
cro,3334961991.5189133
ada,3179008050.027006
bnb,3160143771.4766164
eos,3122968553.1093845
xtz,2581749321.3125815
xlm,2092353679.2750921
trx,1754954593.0996852
xmr,1606994469.701481
atom,1533123444.1443868
usdc,1351177011.9776726
neo,1282527508.1570294
leo,1267333700.7169065
miota,1063961065.7798209
vet,999869777.0528452
ht,992413539.3182106
omg,950761573.4178479
dash,878341928.5555449
hex,842004998.0147159
xem,807985224.429524
zec,805698864.2710412
etc,787512952.800354
lend,732676886.8330448
mkr,634772121.050646
ont,611779642.1013634
bat,600362362.7553153
hedg,558062047.2281214
aib,553528175.4914346
snx,529430225.85746974
zrx,523391426.2371427
ino,452337246.7161817
algo,447229847.3820237
dai,443330331.0950905
comp,432969725.087784
doge,431430145.6053423
btt,418268339.6706883
theta,399542948.2952325
dgb,399477418.85047126
qtum,389590361.21722627
ren,389419749.6056306
ewt,380837816.642476
yfi,379475730.4621793
tusd,374741597.56738937
